eta,L0,L_eff,c_s,c_s_err,c_s_corr,c_s_err_fit,c_s_raw,c_s_raw_err,T_i_mean,c_s_scatter_mass,n_masses,n_masses_lt7,n_runs_in_fit,cs_KR2006,dev_KR,cs_dilute_sqrt2,dev_dilute,cs_Liu2021,dev_Liu
0.006545,600.000000,599.000000,1.44253,0.00210,,,,,,0.01198,9,,78,1.43290,+0.67%,,,1.43290,+0.67%
0.009817,400.000000,399.000000,1.45142,0.00202,,,,,,0.01310,9,,79,1.44238,+0.63%,,,1.44238,+0.63%
0.013090,300.000000,299.000000,1.47509,0.00566,,,,,,0.01227,9,,72,1.45195,+1.59%,,,1.45195,+1.59%
0.019635,199.999496,198.999496,1.47978,0.00144,1.47978,0.00144,1.45376,0.00548,0.981160,0.00841,9,0,192,1.47138,+0.57%,1.46975,+0.68%,1.47138,+0.57%
0.026180,149.999603,148.999603,1.50166,0.00189,1.50166,0.00189,1.48446,0.00369,0.978996,0.00948,9,0,185,1.49118,+0.70%,1.48826,+0.90%,1.49118,+0.70%
0.039270,99.999802,98.999802,1.54434,0.00223,1.54434,0.00223,1.52150,0.00470,0.979578,0.00846,9,0,191,1.53196,+0.81%,1.52529,+1.25%,1.53196,+0.81%
0.052360,74.999802,73.999802,1.58973,0.00099,1.58973,0.00099,1.57447,0.00416,0.980234,0.00756,9,0,188,1.57439,+0.97%,1.56231,+1.76%,1.57439,+0.97%
0.078540,49.999901,48.999901,1.67955,0.00217,1.67955,0.00217,1.65922,0.00193,0.980181,0.01188,9,0,198,1.66454,+0.90%,1.63636,+2.64%,1.66455,+0.90%
0.112200,34.999901,33.999901,1.81933,0.00099,1.81933,0.00099,1.80064,0.00433,0.980505,0.00603,9,0,189,1.79189,+1.53%,1.73156,+5.07%,1.79194,+1.53%
0.130900,29.999901,28.999901,1.89658,0.00099,1.89658,0.00099,1.87363,0.00593,0.980812,0.00642,9,0,190,1.86885,+1.48%,1.78445,+6.28%,1.86893,+1.48%
0.157080,24.999901,23.999901,2.01980,0.00161,2.01980,0.00161,1.99072,0.00519,0.981292,0.00495,9,0,197,1.98495,+1.76%,1.85850,+8.68%,1.98509,+1.75%
0.196350,20.000000,19.000000,2.21895,0.00158,2.21895,0.00158,2.20198,0.01129,0.979200,0.01154,9,0,192,2.17981,+1.80%,1.96958,+12.66%,2.18006,+1.78%
0.261799,15.000000,14.000000,2.62361,0.00349,2.62361,0.00349,2.58379,0.01047,0.981319,0.02231,9,0,187,2.57255,+1.98%,2.15469,+21.76%,2.57299,+1.97%
0.392699,10.000000,9.000000,3.82550,0.00205,3.82550,0.00205,3.77107,0.01580,0.978867,0.03770,9,0,185,3.74608,+2.12%,2.52493,+51.51%,3.74615,+2.12%
0.523599,7.500000,6.500000,6.10418,0.01320,6.10418,0.01320,6.00141,0.02713,0.978691,0.07099,9,0,188,5.93213,+2.90%,2.89518,+110.84%,5.92902,+2.95%
0.549999,7.140000,6.140000,6.77657,0.00997,6.77657,0.00997,6.72726,0.02978,0.979061,0.07619,9,0,182,6.60185,+2.65%,2.96985,+128.18%,6.59787,+2.71%
0.569996,6.889500,5.889500,7.30483,0.01820,7.30483,0.01820,7.25278,0.04808,0.979694,0.16373,9,0,198,7.18766,+1.63%,3.02641,+141.37%,7.18343,+1.69%
0.590001,6.655900,5.655900,7.82890,0.02255,7.82890,0.02255,7.77245,0.03018,0.980815,0.09283,9,0,181,7.85471,-0.33%,3.08299,+153.94%,7.85139,-0.29%
0.609999,6.437700,5.437700,8.48169,0.02474,8.48169,0.02474,8.32241,0.03022,0.981076,0.15639,9,0,192,8.61562,-1.55%,3.13955,+170.16%,8.61587,-1.56%
0.630002,6.233300,5.233300,9.37080,0.06227,9.37080,0.06227,9.07007,0.05311,0.979259,0.30848,9,0,185,9.48076,-1.16%,3.19613,+193.19%,9.48837,-1.24%
0.650003,6.041500,5.041500,11.01475,0.03641,11.01475,0.03641,10.72335,0.08830,0.979415,0.15497,9,0,184,10.43889,+5.52%,3.25270,+238.63%,10.44999,+5.40%
0.669998,5.861200,4.861200,13.08187,0.04013,13.08187,0.04013,12.94174,0.06497,0.980014,0.21957,9,0,190,11.37328,+15.02%,3.30925,+295.31%,11.34499,+15.31%
0.679998,5.775000,4.775000,14.70779,0.07861,14.70779,0.07861,14.44246,0.10445,0.979966,0.50917,9,0,191,11.67118,+26.02%,3.33754,+340.68%,11.60169,+26.77%
0.689999,5.691300,4.691300,16.66586,0.04006,16.66586,0.04006,16.49790,0.03700,0.979538,0.22893,9,0,182,11.55102,+44.28%,3.36583,+395.15%,11.51687,+44.71%
0.695006,5.650300,4.650300,17.97563,0.04292,17.97563,0.04292,17.72231,0.13160,0.979115,0.20665,9,0,182,,,3.37999,+431.83%,11.26416,+59.58%
0.699998,5.610000,4.610000,19.55849,0.03099,19.55849,0.03099,19.12870,0.10769,0.981093,0.26928,9,0,177,,,3.39411,+476.25%,10.83140,+80.57%
0.705000,5.570200,4.570200,17.17567,0.09080,17.17567,0.09080,17.82192,0.19731,0.979952,0.33502,9,0,170,,,3.40825,+403.94%,10.23243,+67.86%
0.709997,5.531000,4.531000,14.81938,0.04316,14.81938,0.04316,15.52231,0.12952,0.980875,0.26844,9,0,165,,,3.42239,+333.01%,9.64646,+53.63%
0.714999,5.492300,4.492300,15.71836,0.01949,15.71836,0.01949,15.56713,0.08384,0.979354,0.21436,9,0,169,,,3.43654,+357.39%,9.71088,+61.86%
0.719994,5.454200,4.454200,16.78525,0.02360,16.78525,0.02360,16.59240,0.06159,0.978172,0.11831,9,0,193,,,3.45066,+386.44%,11.83393,+41.84%
0.725005,5.416500,4.416500,18.10169,0.01982,18.10169,0.01982,17.92059,0.04054,0.978466,0.05894,9,0,190,,,3.46484,+422.44%,12.16555,+48.79%
0.730005,5.379400,4.379400,18.74647,0.02007,18.74647,0.02007,18.58547,0.03323,0.979117,0.11803,9,0,184,,,3.47898,+438.85%,12.51135,+49.84%
0.740006,5.306700,4.306700,22.97328,0.01128,22.97328,0.01128,22.72769,0.02987,0.981291,0.08514,9,0,182,,,3.50727,+555.02%,13.26576,+73.18%
