eta,N,L0,c_s,c_s_err_fit,c_s_scatter_mass,n_masses,n_runs
0.10,100,39.269909,1.76608,0.00151,0.00425,4,31
0.10,400,78.539818,1.75418,0.00226,0.00530,4,34
0.10,900,117.809723,1.75713,0.00495,0.01143,4,22
0.10,1600,157.079636,1.76134,0.00597,0.01063,4,24
0.30,100,13.089969,2.91794,0.00478,0.00996,4,30
0.30,400,26.179939,2.88046,0.01428,0.03156,4,31
0.30,900,39.269909,2.87680,0.01067,0.02362,4,29
0.30,1600,52.359879,2.86605,0.00791,0.01847,3,20
0.50,100,7.853982,5.56056,0.01591,0.04581,4,25
0.50,400,15.707963,5.50766,0.01627,0.03038,4,23
0.50,900,23.561945,5.48725,0.02059,0.03755,4,26
0.50,1600,31.415928,5.50025,0.00256,0.00472,3,20
0.60,100,6.544985,8.15333,0.01492,0.02557,3,12
0.60,400,13.089969,8.29183,0.01760,0.03740,3,21
0.60,900,19.634954,8.30653,0.02226,0.03893,3,16
0.60,1600,26.179939,8.35423,0.01142,0.02838,3,17
0.65,100,6.041524,11.00438,0.05894,0.10823,4,20
0.65,1600,24.166098,10.39728,0.07926,0.20974,3,13
