eta,L0,c_s,c_s_err,c_s_scatter_mass
0.006545,600,1.44424,0,0.00200
0.009817,400,1.45339,0,0.00214
0.013090,300,1.46253,0,0.00153
0.019635,199.9995,1.48413,0,0.00202
0.026180,149.9996,1.50540,0,0.00229
0.039270,99.9998,1.54953,0,0.00337
0.052360,74.9998,1.59512,0,0.00318
0.078540,49.9999,1.68742,0,0.00273
0.112200,34.9999,1.81851,0,0.00230
0.130900,29.9999,1.90240,0,0.00316
0.157080,24.9999,2.02249,0,0.00206
0.196350,20.0000,2.22177,0,0.00245
0.261799,15.0000,2.62477,0,0.00299
0.392699,10.0000,3.82784,0,0.00454
0.523599,7.5000,6.11819,0,0.00505
0.549999,7.1400,6.79174,0,0.00896
0.569996,6.8895,7.31198,0,0.01579
0.590001,6.6559,7.90705,0,0.03139
0.609999,6.4377,8.51082,0,0.02406
0.630002,6.2333,9.39767,0,0.04817
0.650003,6.0415,11.02269,0,0.03615
0.669998,5.8612,13.11434,0,0.04573
0.679998,5.7750,14.64664,0,0.04727
0.689999,5.6913,16.71362,0,0.03037
0.695006,5.6503,18.03540,0,0.02534
0.699998,5.6100,19.55306,0,0.03718
0.705000,5.5702,18.46863,0,0.72032
0.714999,5.4923,16.19395,0,0.24836
0.719994,5.4542,16.81390,0,0.08953
0.725005,5.4165,18.11291,0,0.01145
0.730005,5.3794,18.76688,0,0.01571
0.740006,5.3067,22.98538,0,0.01380
0.749998,5.2360,28.20798,0,0.01597
0.759999,5.1671,37.80758,0,0.02691
