eta,L0,c_s,c_s_err,c_s_scatter_mass
0.006545,600,1.43132,0,0.00000
0.009817,400,1.44078,0,0.00000
0.013090,300,1.47197,0,0.01947
0.019635,199.9995,1.46990,0,0.00023
0.026180,149.9996,1.48957,0,0.00020
0.039270,99.9998,1.53016,0,0.00036
0.052360,74.9998,1.57238,0,0.00051
0.078540,49.9999,1.66114,0,0.00069
0.112200,34.9999,1.78604,0,0.00063
0.130900,29.9999,1.87660,0,0.03875
0.157080,24.9999,2.03233,0,0.02598
0.196350,20.0000,2.23588,0,0.02848
0.261799,15.0000,2.62828,0,0.00092
0.392699,10.0000,3.80345,0,0.06298
0.523599,7.5000,3.94039,0,1.96274
0.549999,7.1400,4.28025,0,2.15217
0.569996,6.8895,4.68029,0,2.33131
0.590001,6.6559,5.15598,0,2.54882
0.609999,6.4377,5.57469,0,2.75591
0.630002,6.2333,3.98571,0,4.00208
0.650003,6.0415,7.00492,0,3.53717
0.669998,5.8612,8.48348,0,4.22831
0.679998,5.7750,9.43630,0,4.75197
0.689999,5.6913,6.89313,0,7.19814
0.695006,5.6503,7.42946,0,7.76397
0.699998,5.6100,7.98168,0,8.38470
0.705000,5.5702,4.83010,0,8.35542
0.709997,5.5310,5.96558,0,7.19205
0.714999,5.4923,10.12023,0,5.06940
0.719994,5.4542,10.74408,0,5.38873
0.725005,5.4165,17.93139,0,0.23507
0.730005,5.3794,12.08503,0,6.08153
0.740006,5.3067,14.69332,0,7.43825
0.749998,5.2360,17.86008,0,9.14213
0.759999,5.1671,24.20276,0,12.41939
