eta,L0,c_s,c_s_err,c_s_scatter_mass
0.006545,600,1.37493,0,0.04266
0.009817,400,1.36494,0,0.07368
0.013090,300,1.23133,0,0.17047
0.019635,199.9995,1.43485,0,0.03988
0.026180,149.9996,1.43637,0,0.05690
0.039270,99.9998,1.50442,0,0.03204
0.052360,74.9998,1.53070,0,0.04382
0.078540,49.9999,1.62233,0,0.04892
0.112200,34.9999,1.71732,0,0.06663
0.130900,29.9999,1.77611,0,0.08503
0.157080,24.9999,1.83457,0,0.13483
0.196350,20.0000,2.12685,0,0.08100
0.261799,15.0000,2.44959,0,0.13819
0.392699,10.0000,3.53905,0,0.21256
0.523599,7.5000,5.34639,0,0.57334
0.549999,7.1400,5.85403,0,0.63144
0.569996,6.8895,6.20051,0,0.84909
0.590001,6.6559,5.70475,0,1.52182
0.609999,6.4377,6.63325,0,1.29132
0.630002,6.2333,7.54315,0,1.26152
0.650003,6.0415,9.30956,0,1.08256
0.669998,5.8612,10.63351,0,1.75626
0.679998,5.7750,11.96855,0,1.81293
0.689999,5.6913,12.19928,0,3.06388
0.695006,5.6503,12.16923,0,3.66630
0.699998,5.6100,13.47034,0,3.56368
0.705000,5.5702,12.04018,0,2.59819
0.709997,5.5310,10.24217,0,2.20401
0.714999,5.4923,11.33717,0,3.31801
0.719994,5.4542,13.83166,0,2.33987
0.725005,5.4165,15.08726,0,2.18374
0.730005,5.3794,15.65511,0,2.00262
0.740006,5.3067,18.43778,0,3.51981
0.749998,5.2360,25.58789,0,1.84084
0.759999,5.1671,30.57037,0,4.57631
