eta,L0,roman_mean,roman_scatter,roman_median,median_scatter,avg_spectrum_peak,avg_spectrum_scatter,spectrum_fit,spectrum_fit_scatter,n_masses,trajectories_used,trajectories_discarded,max_drift_fraction,cs_KR2006
0.006545,600,1.2441868670957417,0.13363972831941628,1.4322183994709696,1.1912906240083729e-08,0.9158412664475564,0.4678580101052989,1.443620149174163,0.002380094119849421,9,224,1,0.28,1.432903385622564
0.009817,400,1.2887405585152316,0.13385528690938153,1.4483188741936528,0.012714389210821225,0.9313985877168177,0.47351506912884095,1.4567960608480368,0.0033561274581197604,9,224,1,0.28,1.4423818484782942
0.013090,300,1.1082306003200957,0.25453120128472695,0.9308884067481127,0.47539575438048487,0.9377060492525677,0.4766771327895175,1.4633217690697227,0.0017952428971039485,9,225,0,0.52,1.4519547443190208
0.019635,199.9995,1.2681555839393661,0.15078625202638543,1.4669016043113592,0.014537533685236964,0.9512595877062952,0.483006371696459,1.4832448392403514,0.001567506468743581,9,225,0,0.32,1.4713768546550845
0.026180,149.9996,1.3908394507206947,0.07694461038885225,1.4974998227994476,0.010055892625710376,1.5084668446451852,0.013256973260005292,1.50640958374238,0.002857838053757869,9,225,0,0.12,1.4911792300743643
0.039270,99.9998,1.306727290785312,0.17544297842155698,1.530895113385591,0.00016899913609378327,0.9789212440282912,0.500080184880393,1.5507111255333934,0.004559723632618428,9,225,0,0.36,1.5319643869916062
0.052360,74.9998,1.3795521573971148,0.1528599241605192,1.5720398272099507,0.02214367563405935,1.5866026206374935,0.016469288025013722,1.5926997700135683,0.0028815192741821244,9,225,0,0.28,1.5743927264709026
0.078540,49.9999,1.4828446758554878,0.14531099393015615,1.6784416816254004,0.01657764541600934,1.682865028724872,0.016577722427115905,1.6863730029253419,0.0036667906454320148,9,225,0,0.2,1.6645372848202054
0.112200,34.9999,1.472324222590075,0.26298958230622377,1.7742229975124202,0.036204325951705474,1.1564753347493752,0.5940462593388148,1.8210984539403254,0.003914593943932261,9,225,0,0.44,1.7918899442794236
0.130900,29.9999,1.6622682075314752,0.16825669896661227,1.884303501377595,0.012467482900097308,1.2134590037443562,0.6202773291757474,1.9030199577855378,0.00335999739595821,9,225,0,0.24,1.868853635533792
0.157080,24.9999,1.7317511094944298,0.23756078815586978,1.9977383178308297,0.012971997376997857,1.2900842708898808,0.6593009482801772,2.024262483975317,0.003984904513667972,9,225,0,0.36,1.984948135780803
0.196350,20.0000,1.8137143671961127,0.2945955005423492,2.201748885887309,0.00038755421750379874,1.4102082267785803,0.7214870666022782,2.224714966280203,0.004859893132584294,9,225,0,0.4,2.1798054812196286
0.261799,15.0000,2.3152647107333815,0.27228364458198623,2.5913018986757486,0.033634486661727234,1.6681760401714238,0.8573143589070698,2.6294556352745158,0.006612063829765154,9,225,0,0.32,2.572551171599921
0.392699,10.0000,3.1818329338371005,0.4288838105462149,3.7512262522172617,0.04793843885401139,2.4378551595372158,1.247299376953592,3.8384604067765236,0.008894235054676696,9,225,0,0.32,3.746079766236013
0.523599,7.5000,4.151688673663933,1.42503308858155,3.8754024994540375,1.99544876487665,3.8857593107241155,2.0003977191035256,6.128814978885178,0.01159345238047668,9,225,0,0.72,5.932127977955907
0.549999,7.1400,4.218023081452744,1.5863491436934771,4.218191123907491,2.2059341353026616,1.8687147599083007,3.342036559704344,6.816679083480346,0.01471827529172207,9,225,0,0.68,6.601846652256098
0.569996,6.8895,3.8280678068882774,2.2088527147400354,4.560114251150161,2.3605905313020803,2.9938401156269236,3.166903786352735,7.353016043523872,0.03750647810596609,9,225,0,0.92,7.187661854020839
0.590001,6.6559,3.799864572262651,2.5368606959206144,3.230596722827372,3.4196023856365545,2.1949354781862263,3.892292080242656,7.913225514877182,0.03284791715372108,9,225,0,0.88,7.854710064972021
0.609999,6.4377,4.832823773095077,2.2687835183884952,5.427961963290207,2.787646568790183,1.5531065400205744,4.402166430238298,8.607243978585348,0.06866171353867596,9,225,0,0.84,8.615615852995166
0.630002,6.2333,5.061808593292733,2.599478476276403,3.841276081346747,4.082339148828518,2.601570161241532,4.627596919893077,9.453585019451445,0.06987018304118357,9,225,0,0.72,9.48075675398614
0.650003,6.0415,6.94979194438098,2.598939699523295,6.942305439203889,3.612317947718756,4.479883939763419,4.7790285580936755,11.083502847982539,0.06828444069896912,9,225,0,0.68,10.438894914753652
0.669998,5.8612,8.377767165147205,2.898602922307622,8.229697937922165,4.263929562432768,3.554645839901411,6.424021092275895,13.14993981865406,0.06671070728580357,9,225,0,0.64,11.373283070559317
0.679998,5.7750,8.815256122672803,3.7512188915400757,9.142721384813806,4.776530603283967,3.988469779757872,7.19053258827583,14.712612667686301,0.07337131808746733,9,225,0,0.72,11.671176463075094
0.689999,5.6913,8.478001329373473,4.973992473321113,10.430662024819386,5.460972921110486,4.521047946472069,8.21330587110704,16.761563531640515,0.0475613343616941,9,225,0,0.88,11.551024040611377
0.695006,5.6503,7.994565135412589,6.45480839970709,7.22185757840527,7.792837626240324,7.256956392761704,7.807766476947843,18.082695351824324,0.0643598355764033,9,225,0,0.96,nan
0.699998,5.6100,10.913448517148638,4.922965200287093,12.117972184695127,6.361065290443036,5.289058064700768,9.633166930926329,19.60713498777652,0.1625709451005906,9,225,0,0.72,nan
0.705000,5.5702,8.26868690962661,3.864835244312095,6.925791303284127,7.355873191296562,2.3826322530325195,8.916449386265304,17.77124848749863,0.523815500723039,9,225,0,0.8,nan
0.709997,5.5310,6.317796119105814,3.461750055648988,6.048804344363329,6.447038574012708,0.835618659704269,4.849501484686615,15.948199769175908,0.34482757453789575,9,225,0,0.8,nan
