eta,N,L0,M,n_runs,nu_mean,nu_sd,c_s_mass
0.02,100,196.349548,50,10,0.001298510435,3.26757e-05,1.480038
0.02,100,196.349548,200,10,0.0007919023866,1.82951e-05,1.487889
0.02,100,196.349548,500,10,0.0005205410616,7.1491e-06,1.476111
0.02,100,196.349548,1000,10,0.0003770616492,5.64743e-06,1.487889
0.02,100,196.349548,2000,10,0.0002674017699,5.83938e-06,1.480037
0.02,400,392.699097,50,10,0.0008428309679,2.93555e-05,1.483963
0.02,400,392.699097,200,10,0.0006458797915,1.20107e-05,1.476112
0.02,400,392.699097,500,10,0.0004681313161,9.31045e-06,1.456482
0.02,400,392.699097,1000,10,0.0003586491658,1.13293e-05,1.487889
0.02,400,392.699097,2000,10,0.0002596059953,3.56542e-06,1.476111
0.02,900,589.048645,50,10,0.0005914260552,2.00027e-05,1.468260
0.02,900,589.048645,200,10,0.000513157545,1.32555e-05,1.468260
0.02,900,589.048645,500,10,0.000416318882,7.85018e-06,1.472186
0.02,900,589.048645,1000,10,0.0003296746737,6.21641e-06,1.472186
0.02,900,589.048645,2000,10,0.0002521248694,3.12771e-06,1.491815
0.02,1600,785.398193,50,10,0.0004586405493,1.25313e-05,1.483963
0.02,1600,785.398193,200,10,0.0004197647937,1.0563e-05,1.480037
0.02,1600,785.398193,500,10,0.0003651227177,7.10847e-06,1.487889
0.02,1600,785.398193,1000,10,0.0003012229226,4.23356e-06,1.472185
0.02,1600,785.398193,2000,10,0.0002350274464,3.04367e-06,1.464334
0.05,100,78.539818,50,10,0.003534259053,7.59702e-05,1.598962
0.05,100,78.539818,200,10,0.002110421104,3.77832e-05,1.573911
0.05,100,78.539818,500,10,0.00140201906,2.34581e-05,1.578085
0.05,100,78.539818,1000,10,0.001004868848,1.28753e-05,1.573910
0.05,100,78.539818,2000,10,0.000722106722,1.26685e-05,1.586434
0.05,400,157.079636,50,10,0.002261236232,4.85866e-05,1.586435
0.05,400,157.079636,200,10,0.00172371373,3.86586e-05,1.569735
0.05,400,157.079636,500,10,0.00126954692,1.62666e-05,1.573910
0.05,400,157.079636,1000,10,0.0009521067475,1.70457e-05,1.573910
0.05,400,157.079636,2000,10,0.0006909899163,9.71156e-06,1.565560
0.05,900,235.619446,50,10,0.001580580066,2.98037e-05,1.565560
0.05,900,235.619446,200,10,0.001371409327,3.10793e-05,1.565561
0.05,900,235.619446,500,10,0.00110964089,1.55955e-05,1.565560
0.05,900,235.619446,1000,10,0.0008810462517,1.21003e-05,1.569735
0.05,900,235.619446,2000,10,0.0006613937844,9.13215e-06,1.561385
0.05,1600,314.159271,50,10,0.001234589175,2.96992e-05,1.594784
0.05,1600,314.159271,200,10,0.001118110411,1.43262e-05,1.573910
0.05,1600,314.159271,500,10,0.0009648637301,1.32514e-05,1.569735
0.05,1600,314.159271,1000,10,0.0008044943192,1.10489e-05,1.569734
0.05,1600,314.159271,2000,10,0.0006361029457,1.66902e-05,1.582259
0.10,100,39.269909,50,10,0.007791937882,0.000146926,1.739874
0.10,100,39.269909,200,10,0.004764685826,7.97209e-05,1.753792
0.10,100,39.269909,500,10,0.00315695844,3.5214e-05,1.753792
0.10,100,39.269909,1000,10,0.002286692847,1.89794e-05,1.767710
0.10,100,39.269909,2000,10,0.001630261522,2.4289e-05,1.767708
0.10,400,78.539818,50,10,0.00509836195,0.000259112,1.776992
0.10,400,78.539818,200,10,0.003825215982,9.729e-05,1.730596
0.10,400,78.539818,500,10,0.002855062257,2.38219e-05,1.758431
0.10,400,78.539818,1000,10,0.002141176376,1.78654e-05,1.758431
0.10,400,78.539818,2000,10,0.001558120344,2.60699e-05,1.753790
0.10,900,117.809723,50,35,0.003561768082,9.71955e-05,1.756442
0.10,900,117.809723,200,35,0.003083411245,6.28777e-05,1.752465
0.10,900,117.809723,500,35,0.002498639624,3.75211e-05,1.755116
0.10,900,117.809723,1000,35,0.001980117604,3.61999e-05,1.756442
0.10,900,117.809723,2000,35,0.001497789667,1.90109e-05,1.760418
0.10,1600,157.079636,50,35,0.002722006802,5.55079e-05,1.752465
0.10,1600,157.079636,200,35,0.002486553179,5.60229e-05,1.744512
0.10,1600,157.079636,500,35,0.002153091263,2.80514e-05,1.745837
0.10,1600,157.079636,1000,35,0.001796590813,3.04892e-05,1.747163
0.10,1600,157.079636,2000,34,0.001412220837,2.65572e-05,1.750789
0.10,1600,157.079636,3200,10,0.001171364907,9.77356e-06,1.758429
0.10,2500,196.349548,50,10,0.002177146339,4.07025e-05,1.735232
0.10,2500,196.349548,200,10,0.002078862944,5.68e-05,1.753791
0.10,2500,196.349548,500,10,0.001877272086,5.1292e-05,1.753791
0.10,2500,196.349548,1000,10,0.001627747981,2.08562e-05,1.749150
0.10,2500,196.349548,2000,10,0.001333425572,1.99713e-05,1.758429
