eta,form,a,a_err,chi2,dof,KR,dev_pct
0.10,a + b/√N,1.75449,0.00609,1.8960,3,1.74414,+0.593
0.10,a + b/N,1.75415,0.00299,1.7606,3,1.74414,+0.574
0.10,a + b/√N + c/N,1.72464,0.02306,0.0944,2,1.74414,-1.118
0.30,a + b/√N,2.86183,0.01014,1.5686,3,2.85150,+0.362
0.30,a + b/N,2.87408,0.00586,2.5340,3,2.85150,+0.792
0.30,a + b/√N + c/N,2.84131,0.02562,0.8084,2,2.85150,-0.357
0.50,a + b/√N,5.43030,0.05397,0.3850,2,5.41622,+0.260
0.50,a + b/N,5.45747,0.03381,0.4615,2,5.41622,+0.762
0.50,a + b/√N + c/N,5.41620,0.14328,0.3737,1,5.41622,-0.000
0.60,a + b/√N,8.20534,0.08116,0.6731,2,8.22261,-0.210
0.60,a + b/N,8.23517,0.04794,0.5410,2,8.22261,+0.153
0.60,a + b/√N + c/N,8.31268,0.22859,0.4208,1,8.22261,+1.095
0.65,a + b/√N,10.16323,0.12563,0.5984,2,10.43875,-2.639
0.65,a + b/N,10.31754,0.07557,1.0596,2,10.43875,-1.161
0.65,a + b/√N + c/N,9.88938,0.48279,0.2533,1,10.43875,-5.263
