eta,N,M,n,gamma_over_f0,sd_x_slow,sd_x_slow_over_L0
0.10,100,1000,10,0.01862647346182382,0.20743706382653232,0.005282341342490311
0.10,100,200,10,0.03973015923964719,0.4059423385816324,0.010337236548768993
0.10,100,2000,10,0.026237149551052295,0.11661086293251081,0.002969471177855564
0.10,100,50,10,0.0931418648470785,0.7986956729403147,0.020338617869990857
0.10,100,500,10,0.030165381937030805,0.24115120004592447,0.006140864753364325
0.10,400,1000,10,0.021862054295993368,0.18404745444167686,0.002343364921493412
0.10,400,200,10,0.04737628684853058,0.49925704524227665,0.006356737995525743
0.10,400,2000,10,0.03100906769955066,0.13209304756450574,0.001681860881884215
0.10,400,50,10,0.07892301370641158,1.0645050166669712,0.013553698541381535
0.10,400,500,10,0.031791271190145375,0.24499129533071584,0.0031193259873700733
0.10,900,1000,35,0.02570116347714512,0.2399716476369161,0.0020369426353452685
0.10,900,200,35,0.049087804486264854,0.5077594679400336,0.004309996280527997
0.10,900,2000,35,0.021705553020737497,0.16376918397306858,0.0013901160261031136
0.10,900,50,35,0.0591611089812033,0.9759625039478097,0.008284227134188318
0.10,900,500,35,0.03697836370770414,0.35695196635850734,0.003029902433082771
0.10,1600,1000,35,0.03259567082364244,0.26399962339610666,0.001680673765987761
0.10,1600,200,35,0.04539871141158582,0.5901323867176032,0.003756899377571789
0.10,1600,2000,34,0.02495149927264849,0.2117455187442869,0.0013480138109327356
0.10,1600,50,35,0.05145723035566279,0.8383699100032862,0.005337228499837409
0.10,1600,500,35,0.03320529504305536,0.2962304492439787,0.0018858615717952051
0.10,1600,3200,10,0.010570854062062152,0.13797479947226604,0.000878374835756979
0.10,2500,1000,5,0.023405799965437853,0.2990971514746483,0.0015232892284256663
0.10,2500,200,7,0.03487470432778192,0.8228338322676902,0.0041906581433418435
0.10,2500,2000,4,0.022729214845971193,0.17144928366555157,0.0008731839997184591
0.10,2500,50,7,0.05991493338648953,0.9943723508940325,0.005064296612967159
0.10,2500,500,6,0.050398138900109496,0.31029872759547933,0.0015803383850696684
0.10,2500,5000,10,0.01592529458768478,0.12861190748290424,0.0006550150422699432
0.30,100,1000,10,0.024936597202858103,0.04146095114590966,0.003167383448036406
0.30,100,200,10,0.04810540496393868,0.08255638553907772,0.00630684347220973
0.30,100,2000,10,0.022468478216570414,0.04179825361817724,0.00319315145957773
0.30,100,50,10,0.09943334433818402,0.20117970763358461,0.015368998019291308
0.30,100,500,10,0.042177068240414575,0.05837374885328826,0.004459426057715512
0.30,400,1000,10,0.03241902372836583,0.03211522003391361,0.0012267110337389863
0.30,400,200,10,0.05297123436432833,0.11886907853441926,0.004540464304917565
0.30,400,2000,10,0.032231296563710946,0.031193234210242983,0.0011914937697235651
0.30,400,50,10,0.06776082905592118,0.17917359139038677,0.006843927000379442
0.30,400,500,10,0.028002966312308995,0.06139237630671922,0.002345016018055627
0.30,900,1000,35,0.027159212053332927,0.05424507973431879,0.0013813395833007606
0.30,900,200,35,0.052080032091140926,0.11035253405120699,0.0028101041449117435
0.30,900,2000,35,0.02885488177216991,0.0345712598507077,0.0008803498844549831
0.30,900,50,35,0.08050198401178241,0.20769093263436225,0.005288806058459729
0.30,900,500,35,0.03809068895069179,0.06761198104510226,0.0017217249228945822
0.30,1600,1000,35,0.03525436172739205,0.04774496353396022,0.0009118616094196898
0.30,1600,200,35,0.04613002745921784,0.11915666697804632,0.0022757246436349923
0.30,1600,2000,35,0.02881254698627128,0.0420363706392811,0.0008028355191439823
0.30,1600,50,35,0.063151917264401,0.2197510656985942,0.004196936087239511
0.30,1600,500,35,0.04301621103797681,0.06280928603478943,0.0011995689683467264
0.30,1600,3200,10,0.015579872473972384,0.0355649561848332,0.0006792406106368809
0.30,2500,1000,5,0.0313347600012616,0.04404108729160476,0.0006728982775207953
0.30,2500,200,6,0.04431851687858567,0.0685014923117727,0.0010466257537874758
0.30,2500,2000,4,0.02633020286761989,0.04103475031740191,0.0006269648300063468
0.30,2500,50,6,0.05436099349954076,0.16971786573315809,0.0025930980940635714
0.30,2500,500,6,0.05216339053958005,0.0878445866146984,0.0013421664781156455
0.30,2500,5000,10,0.0239749768558569,0.024548468671045272,0.00037507298980033127
