eta,N,L0,M,n_runs,nu_mean,nu_sd,c_s_mass
0.02,100,196.349548,50,10,0.001298510435,3.26757e-05,1.479849
0.02,100,196.349548,200,10,0.0007919023866,1.82951e-05,1.487699
0.02,100,196.349548,500,10,0.0005205410616,7.1491e-06,1.475922
0.02,100,196.349548,1000,10,0.0003770616492,5.64743e-06,1.487699
0.02,100,196.349548,2000,10,0.0002674017699,5.83938e-06,1.479848
0.02,400,392.699097,50,10,0.0008428309679,2.93555e-05,1.483868
0.02,400,392.699097,200,10,0.0006458797915,1.20107e-05,1.476018
0.02,400,392.699097,500,10,0.0004681313161,9.31045e-06,1.456389
0.02,400,392.699097,1000,10,0.0003586491658,1.13293e-05,1.487794
0.02,400,392.699097,2000,10,0.0002596059953,3.56542e-06,1.476017
0.02,900,589.048645,50,10,0.0005914260552,2.00027e-05,1.468198
0.02,900,589.048645,200,10,0.000513157545,1.32555e-05,1.468198
0.02,900,589.048645,500,10,0.000416318882,7.85018e-06,1.472123
0.02,900,589.048645,1000,10,0.0003296746737,6.21641e-06,1.472123
0.02,900,589.048645,2000,10,0.0002521248694,3.12771e-06,1.491752
0.02,1600,785.398193,50,10,0.0004586405493,1.25313e-05,1.483916
0.02,1600,785.398193,200,10,0.0004197647937,1.0563e-05,1.479990
0.02,1600,785.398193,500,10,0.0003651227177,7.10847e-06,1.487842
0.02,1600,785.398193,1000,10,0.0003012229226,4.23356e-06,1.472138
0.02,1600,785.398193,2000,10,0.0002350274464,3.04367e-06,1.464287
0.05,100,78.539818,50,10,0.003534259053,7.59702e-05,1.598446
0.05,100,78.539818,200,10,0.002110421104,3.77832e-05,1.573404
0.05,100,78.539818,500,10,0.00140201906,2.34581e-05,1.577576
0.05,100,78.539818,1000,10,0.001004868848,1.28753e-05,1.573403
0.05,100,78.539818,2000,10,0.000722106722,1.26685e-05,1.585923
0.05,400,157.079636,50,10,0.002261236232,4.85866e-05,1.586181
0.05,400,157.079636,200,10,0.00172371373,3.86586e-05,1.569484
0.05,400,157.079636,500,10,0.00126954692,1.62666e-05,1.573658
0.05,400,157.079636,1000,10,0.0009521067475,1.70457e-05,1.573658
0.05,400,157.079636,2000,10,0.0006909899163,9.71156e-06,1.565309
0.05,900,235.619446,50,10,0.001580580066,2.98037e-05,1.565393
0.05,900,235.619446,200,10,0.001371409327,3.10793e-05,1.565394
0.05,900,235.619446,500,10,0.00110964089,1.55955e-05,1.565393
