eta,L0,M,run,seed,nu,peak_snr,peak_on_search_boundary,frequency_quality_pass,forced_advance,clamp_repair,overlap_repair,wall_overdue,wall_overdue_class,psi6_global_hold,psi6_global_end,gpt_health_reason,gpt_eligible_structure,eligible,exclusion_reasons,T_i_left,T_i_right,T_i_mean
0.019635,199.999496,1000,0,2605600799,0.00036565980448171204,202950.1998102997,0,1,0,0,0,2,t0_seeder_right_wall,0.0182640809,0.0270665543,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.975227334,0.993921164,0.984574249
0.019635,199.999496,1000,1,2046847579,0.0003598939856137397,26709.093971808794,0,1,0,0,0,1,t0_seeder_right_wall,0.0211228505,0.0441032147,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.994365808,0.974133928,0.984249868
0.019635,199.999496,1000,10,2649591096,0.00036296974585698554,22166.091563749596,0,1,0,0,0,2,t0_seeder_right_wall,0.0578978856,0.0455836139,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.989914534,0.965108472,0.977511503
0.019635,199.999496,1000,11,1622450528,0.00037232956582961837,2152.9977146606516,0,1,0,0,0,1,t0_seeder_right_wall,0.0470016997,0.0409409511,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.968555008,0.987758814,0.978156911
0.019635,199.999496,1000,12,725141083,0.00037433889334334845,43586.27872742807,0,1,0,0,0,0,none,0.02,0.0237411332,,True,1,,0.977046100,0.998085378,0.987565739
0.019635,199.999496,1000,13,3869998295,0.00036161720594449323,92760.4276234075,0,1,0,0,0,2,t0_seeder_right_wall,0.0169553021,0.0273998291,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.995950956,0.994676806,0.995313881
0.019635,199.999496,1000,14,3941587677,0.0003602003811820387,42310.55485698239,0,1,0,0,0,0,none,0.0625849638,0.0773190198,,True,1,,0.990163670,0.952934526,0.971549098
0.019635,199.999496,1000,15,2260694966,0.00036950551900601325,66433.0855614426,0,1,0,0,0,1,t0_seeder_right_wall,0.0551485653,0.0136244177,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.954813078,0.992841294,0.973827186
0.019635,199.999496,1000,16,2109793741,0.0003685207558586661,10286.942436218093,0,1,0,0,0,1,t0_seeder_right_wall,0.0387959693,0.0510537889,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.999623016,0.980632084,0.990127550
0.019635,199.999496,1000,17,1989022702,0.00035615026135249315,40524.95978542813,0,1,0,0,0,1,t0_seeder_right_wall,0.0394116445,0.0146482583,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.981801764,0.989567270,0.985684517
0.019635,199.999496,1000,18,1186334707,0.0003635373404862546,21072.384705040724,0,1,0,0,0,1,t0_seeder_right_wall,0.0346708475,0.0361684028,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.990632812,0.976358630,0.983495721
0.019635,199.999496,1000,19,3173323266,0.00036674965086662165,12676.955146442499,0,1,0,0,0,2,t0_seeder_right_wall,0.02,0.0552830342,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.974541152,0.984055558,0.979298355
0.019635,199.999496,1000,2,4104199543,0.0003718708203629716,9839.520556995287,0,1,0,0,0,1,t0_seeder_right_wall,0.0231861755,0.0525623471,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.990404466,0.992771326,0.991587896
0.019635,199.999496,1000,20,792759969,0.0003656741425799906,86271.40503496252,0,1,0,0,0,2,t0_seeder_right_wall,0.0361306268,0.0397935541,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.945681446,0.975827956,0.960754701
0.019635,199.999496,1000,21,3755579235,0.00036800256445141663,12733.981149846239,0,1,0,0,0,1,t0_seeder_right_wall,0.0540086069,0.0771746767,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.976997344,0.989660680,0.983329012
0.019635,199.999496,1000,22,3562975857,0.0003599779501942116,39478.20846702737,0,1,0,0,0,1,t0_seeder_right_wall,0.0502093891,0.0208121891,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.996124400,0.971037768,0.983581084
0.019635,199.999496,1000,23,1798490571,0.00036675933827176377,15985.869468830988,0,1,0,0,0,2,t0_seeder_right_wall,0.0140255994,0.02,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.977763804,0.989198342,0.983481073
0.019635,199.999496,1000,24,1850578684,0.0003492114202442434,13431.960075751556,0,1,0,0,0,2,t0_seeder_right_wall,0.02,0.0391622248,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.928547530,0.964685430,0.946616480
0.019635,199.999496,1000,3,1016188557,0.0003691997453718754,25027.464410233257,0,1,0,0,0,1,t0_seeder_right_wall,0.0255259543,0.0376145386,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.995500798,0.999077424,0.997289111
0.019635,199.999496,1000,4,3918568858,0.00036465905116301884,90608.55260396622,0,1,0,0,0,0,none,0.0164250084,0.0242326703,,True,1,,0.999096148,0.997696312,0.998396230
0.019635,199.999496,1000,5,2622607698,0.00036952988892107087,37686.00461811465,0,1,0,0,0,0,none,0.0103132972,0.0198522187,,True,1,,0.988560830,0.979930476,0.984245653
0.019635,199.999496,1000,6,30034789,0.0003617521774789135,40137.076600773726,0,1,0,0,0,1,t0_seeder_right_wall,0.0154698797,0.0255677339,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.962485720,0.974787212,0.968636466
0.019635,199.999496,1000,7,2735332799,0.0003605956284084526,22685.38817938805,0,1,0,0,0,0,none,0.0349049252,0.0192542049,,True,1,,0.996376248,0.994194382,0.995285315
0.019635,199.999496,1000,8,2186362259,0.000363396658891474,85821.87297354171,0,1,0,0,0,0,none,0.0528277141,0.025799491,,True,1,,0.983740038,0.991128216,0.987434127
0.019635,199.999496,1000,9,2932653850,0.000359041078288539,29883.262332692764,0,1,0,0,0,1,t0_seeder_right_wall,0.026464551,0.0280549392,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.970654170,0.993486522,0.982070346
0.019635,199.999496,100,0,2791963445,0.0010419003167466,937.8808219979242,0,1,0,0,0,1,t0_seeder_right_wall,0.0441071165,0.0756860901,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.981587462,0.958509922,0.970048692
0.019635,199.999496,100,1,3647599360,0.0009796837480111707,931.2428986586214,0,1,0,0,0,0,none,0.0398277253,0.02,,True,1,,0.944755536,0.995126564,0.969941050
0.019635,199.999496,100,10,1652077020,0.0009996374889846772,800.4216934918788,0,1,0,0,0,1,t0_seeder_right_wall,0.0904356408,0.0188924507,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.963250720,0.984527316,0.973889018
0.019635,199.999496,100,11,1545694434,0.00101653190797671,1282.1680977750466,0,1,0,0,0,1,t0_seeder_right_wall,0.02,0.0391277124,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.986974802,0.994873590,0.990924196
0.019635,199.999496,100,12,54387304,0.0010272505410993176,929.5557199972667,0,1,0,0,0,0,none,0.00845993173,0.0399242063,,True,1,,0.993411712,0.982971206,0.988191459
0.019635,199.999496,100,13,1148734598,0.0010234686255725163,1074.6759085078218,0,1,0,0,0,1,t0_seeder_right_wall,0.0274698681,0.0587635955,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.965254468,0.961734326,0.963494397
0.019635,199.999496,100,14,979689938,0.0010230813245118418,1837.7697020143644,0,1,0,0,0,1,t0_seeder_right_wall,0.0469335492,0.0549690388,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.984526536,0.970531854,0.977529195
0.019635,199.999496,100,15,565849579,0.0010288379679740502,1968.2803009248803,0,1,0,0,0,0,none,0.0356871399,0.0232067847,,True,1,,0.968444366,0.932304088,0.950374227
0.019635,199.999496,100,16,3526411061,0.0009684958853838086,543.8468560750382,0,1,0,0,0,2,t0_seeder_right_wall,0.0410662967,0.02,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.995934898,0.990886566,0.993410732
0.019635,199.999496,100,17,2134798868,0.0010147533249777923,1141.715972284481,0,1,0,0,0,2,t0_seeder_right_wall,0.0241513329,0.0322160069,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.998007482,0.994779276,0.996393379
0.019635,199.999496,100,18,2301762378,0.001002676802279923,793.583500817868,0,1,0,0,0,0,none,0.000901775593,0.0174373395,,True,1,,0.973211270,0.979854144,0.976532707
0.019635,199.999496,100,19,2664804218,0.0010469638466052559,693.0792266202782,0,1,0,0,0,1,t0_seeder_right_wall,0.0096820525,0.102490731,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.981613078,0.998888248,0.990250663
0.019635,199.999496,100,2,4278445368,0.0010063324085807725,1542.4412682035418,0,1,0,0,0,2,t0_seeder_right_wall,0.0394387456,0.0461751139,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.989976818,0.993392294,0.991684556
0.019635,199.999496,100,20,3147778517,0.001016877897517225,759.9489959562438,0,1,0,0,0,0,none,0.0332517074,0.0552984424,,True,1,,0.992682988,0.993999812,0.993341400
0.019635,199.999496,100,21,1172477848,0.0009406686204391143,488.4254339986826,0,1,0,0,0,0,none,0.0216027814,0.016415999,,True,1,,0.998249892,0.975721042,0.986985467
0.019635,199.999496,100,22,1914734105,0.0009998487089129756,821.6216176732942,0,1,0,0,0,1,t0_seeder_right_wall,0.0311975729,0.0248714495,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.981404024,0.995937282,0.988670653
0.019635,199.999496,100,23,4034883099,0.0010167848296652763,464.75229579346967,0,1,0,0,0,1,t0_seeder_right_wall,0.0176388007,0.109239737,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.994986064,0.965766308,0.980376186
0.019635,199.999496,100,24,2985471360,0.0009407698450750481,370.77147395025395,0,1,0,0,0,2,t0_seeder_right_wall,0.0469879075,0.0484745092,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.997553836,0.962567380,0.980060608
0.019635,199.999496,100,3,880059446,0.0010127170765210404,1644.9975005801145,0,1,0,0,0,0,none,0.02,0.0119918085,,True,1,,0.991639132,0.992750986,0.992195059
0.019635,199.999496,100,4,3152885206,0.0010068209751523183,1653.2810842248907,0,1,0,0,0,0,none,0.0410178929,0.0395318668,,True,1,,0.994011644,0.982445498,0.988228571
0.019635,199.999496,100,5,2357962779,0.0009886063562107783,449.24931401040334,0,1,0,0,0,1,t0_seeder_right_wall,0.0697509725,0.0690742092,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.996675880,0.997740486,0.997208183
0.019635,199.999496,100,6,1654482770,0.0010334395212740711,570.9140824102684,0,1,0,0,0,2,t0_seeder_right_wall,0.0855141294,0.00630242819,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.974996220,0.966300418,0.970648319
