eta,L0,L_eff,c_s_corr,c_s_err_fit,c_s_raw,c_s_raw_err,T_i_mean,c_s_scatter_mass,n_masses,n_masses_lt7,n_runs_in_fit,cs_KR2006,dev_KR,cs_dilute_sqrt2,dev_dilute,cs_Liu2021,dev_Liu
0.006545,600.000000,599.000000,1.44193,0.00150,1.44193,0.00150,1.000000,0.00676,9,0,63,1.43290,+0.63%,1.43273,+0.64%,1.43290,+0.63%
0.009817,400.000000,399.000000,1.45015,0.00255,1.45015,0.00255,1.000000,0.01212,8,0,57,1.44238,+0.54%,1.44198,+0.57%,1.44238,+0.54%
0.013090,300.000000,299.000000,1.45339,0.00267,1.45339,0.00267,1.000000,0.00864,8,0,59,1.45195,+0.10%,1.45124,+0.15%,1.45195,+0.10%
0.019635,199.999496,198.999496,1.47965,0.00160,1.46601,0.00211,0.980915,0.00661,9,0,140,1.47138,+0.56%,1.46975,+0.67%,1.47138,+0.56%
0.026180,149.999603,148.999603,1.50166,0.00204,1.48607,0.00197,0.978877,0.00728,9,0,154,1.49118,+0.70%,1.48826,+0.90%,1.49118,+0.70%
0.039270,99.999802,98.999802,1.54424,0.00170,1.52872,0.00186,0.979679,0.00536,9,0,161,1.53196,+0.80%,1.52529,+1.24%,1.53196,+0.80%
0.052360,74.999802,73.999802,1.58690,0.00127,1.57224,0.00139,0.981356,0.00476,9,0,152,1.57439,+0.79%,1.56231,+1.57%,1.57439,+0.79%
0.078540,49.999901,48.999901,1.67830,0.00148,1.66218,0.00186,0.981228,0.00631,9,0,171,1.66454,+0.83%,1.63636,+2.56%,1.66455,+0.83%
0.112200,34.999901,33.999901,1.81703,0.00142,1.80020,0.00205,0.981639,0.00527,9,0,156,1.79189,+1.40%,1.73156,+4.94%,1.79194,+1.40%
0.130900,29.999901,28.999901,1.89220,0.00177,1.87318,0.00171,0.979544,0.01065,9,0,151,1.86885,+1.25%,1.78445,+6.04%,1.86893,+1.24%
0.157080,24.999901,23.999901,2.01947,0.00150,2.00138,0.00150,0.981414,0.00589,9,0,173,1.98495,+1.74%,1.85850,+8.66%,1.98509,+1.73%
0.196350,20.000000,19.000000,2.22086,0.00202,2.19691,0.00199,0.978288,0.00746,8,0,144,2.17981,+1.88%,1.96958,+12.76%,2.18006,+1.87%
0.261799,15.000000,14.000000,2.61852,0.00371,2.59499,0.00344,0.981978,0.01603,9,0,148,2.57255,+1.79%,2.15469,+21.53%,2.57299,+1.77%
0.392699,10.000000,9.000000,3.82026,0.00717,3.78109,0.00884,0.979371,0.04884,9,0,138,3.74608,+1.98%,2.52493,+51.30%,3.74615,+1.98%
0.523599,7.500000,6.500000,6.11721,0.01266,6.05720,0.01430,0.978921,0.04137,8,0,111,5.93213,+3.12%,2.89518,+111.29%,5.92902,+3.17%
0.549999,7.140000,6.140000,6.78599,0.01072,6.70975,0.01371,0.978758,0.06109,8,0,108,6.60185,+2.79%,2.96985,+128.50%,6.59787,+2.85%
0.569996,6.889500,5.889500,7.29013,0.00895,7.21859,0.01196,0.980656,0.04110,8,0,97,7.18766,+1.43%,3.02641,+140.88%,7.18343,+1.49%
0.590001,6.655900,5.655900,7.86035,0.01667,7.78634,0.01484,0.981819,0.07205,8,0,74,7.85471,+0.07%,3.08299,+154.96%,7.85139,+0.11%
0.609999,6.437700,5.437700,8.49302,0.03600,8.41119,0.04320,0.981034,0.18220,7,0,63,8.61562,-1.42%,3.13955,+170.52%,8.61587,-1.43%
0.630002,6.233300,5.233300,9.38332,0.04456,9.28282,0.04578,0.979860,0.13934,7,0,59,9.48076,-1.03%,3.19613,+193.58%,9.48837,-1.11%
0.650003,6.041500,5.041500,10.99225,0.03363,10.87422,0.03778,0.977501,0.15208,8,0,82,10.43889,+5.30%,3.25270,+237.94%,10.44999,+5.19%
0.669998,5.861200,4.861200,13.06769,0.03348,12.93991,0.03438,0.979053,0.20396,8,0,105,11.37328,+14.90%,3.30925,+294.88%,11.34499,+15.18%
0.679998,5.775000,4.775000,14.64609,0.02355,14.49550,0.02835,0.980077,0.06611,8,0,116,11.67118,+25.49%,3.33754,+338.83%,11.60169,+26.24%
0.689999,5.691300,4.691300,16.70792,0.01836,16.53441,0.02117,0.978423,0.06350,8,0,114,11.55102,+44.64%,3.36583,+396.40%,11.51687,+45.07%
0.695006,5.650300,4.650300,17.96869,0.05359,17.80558,0.06268,0.978593,0.32707,9,0,116,,,3.37999,+431.62%,11.26416,+59.52%
0.699998,5.610000,4.610000,19.57311,0.04178,19.40509,0.04449,0.981250,0.29620,9,0,122,,,3.39411,+476.68%,10.83140,+80.71%
0.705000,5.570200,4.570200,17.61004,0.24580,17.36896,0.23617,0.977992,0.66957,8,0,103,,,3.40825,+416.69%,10.23243,+72.10%
