variant,eta,N,L0,M,n_runs,nu_mean,nu_sem,c_s,c_s_err,c_s_point,c_s_point_err,slope_dcs_dlog10M,slope_err,t_stat
cut0p03,0.10,100,39.269909,200,4,0.00477777343,2.747e-05,1.75861,0.01011,1.76608,0.00151,0.00200,0.00625,0.32
cut0p03,0.10,100,39.269909,500,8,0.00318167015,1.009e-05,1.76752,0.00561,1.76608,0.00151,0.00200,0.00625,0.32
cut0p03,0.10,100,39.269909,1000,10,0.00228672382,5.794e-06,1.76773,0.00448,1.76608,0.00151,0.00200,0.00625,0.32
cut0p03,0.10,100,39.269909,2000,9,0.00162718717,5.107e-06,1.76437,0.00554,1.76608,0.00151,0.00200,0.00625,0.32
cut0p03,0.10,400,78.539818,200,7,0.00386672211,1.856e-05,1.74937,0.00840,1.75418,0.00226,-0.00536,0.00971,-0.55
cut0p03,0.10,400,78.539818,500,9,0.00285204569,5.99e-06,1.75657,0.00369,1.75418,0.00226,-0.00536,0.00971,-0.55
cut0p03,0.10,400,78.539818,1000,10,0.00213775712,5.181e-06,1.75562,0.00425,1.75418,0.00226,-0.00536,0.00971,-0.55
cut0p03,0.10,400,78.539818,2000,8,0.00155067435,6.07e-06,1.74541,0.00683,1.75418,0.00226,-0.00536,0.00971,-0.55
cut0p03,0.10,900,117.809723,200,3,0.00311055461,1.627e-05,1.76789,0.00925,1.75713,0.00495,-0.02664,0.00329,-8.11
cut0p03,0.10,900,117.809723,500,7,0.00250490394,9.201e-06,1.75952,0.00646,1.75713,0.00495,-0.02664,0.00329,-8.11
cut0p03,0.10,900,117.809723,1000,6,0.00197005504,1.252e-05,1.74752,0.01110,1.75713,0.00495,-0.02664,0.00329,-8.11
cut0p03,0.10,900,117.809723,2000,6,0.00148272363,9.979e-06,1.74271,0.01173,1.75713,0.00495,-0.02664,0.00329,-8.11
cut0p03,0.10,1600,157.079636,200,3,0.00252799256,7.68e-06,1.77359,0.00539,1.76134,0.00597,-0.02042,0.01275,-1.60
cut0p03,0.10,1600,157.079636,500,5,0.00215695679,9.21e-06,1.74897,0.00747,1.76134,0.00597,-0.02042,0.01275,-1.60
cut0p03,0.10,1600,157.079636,1000,8,0.00180440915,7.522e-06,1.75477,0.00731,1.76134,0.00597,-0.02042,0.01275,-1.60
cut0p03,0.10,1600,157.079636,2000,8,0.00141635732,6.758e-06,1.75592,0.00838,1.76134,0.00597,-0.02042,0.01275,-1.60
cut0p03,0.30,100,13.089969,200,8,0.0249739597,0.0001233,2.90402,0.01434,2.91794,0.00478,-0.00284,0.01771,-0.16
cut0p03,0.30,100,13.089969,500,6,0.01667547,4.775e-05,2.92654,0.00838,2.91794,0.00478,-0.00284,0.01771,-0.16
cut0p03,0.30,100,13.089969,1000,7,0.011957589,4.62e-05,2.92021,0.01128,2.91794,0.00478,-0.00284,0.01771,-0.16
cut0p03,0.30,100,13.089969,2000,9,0.00849760132,2.888e-05,2.91083,0.00989,2.91794,0.00478,-0.00284,0.01771,-0.16
cut0p03,0.30,400,26.179939,200,6,0.0192791535,9.14e-05,2.83242,0.01343,2.88046,0.01428,0.06219,0.02841,2.19
cut0p03,0.30,400,26.179939,500,7,0.0144467982,4.571e-05,2.88942,0.00914,2.88046,0.01428,0.06219,0.02841,2.19
cut0p03,0.30,400,26.179939,1000,8,0.010808899,5.2e-05,2.88260,0.01387,2.88046,0.01428,0.06219,0.02841,2.19
cut0p03,0.30,400,26.179939,2000,10,0.0079491814,3.562e-05,2.90555,0.01302,2.88046,0.01428,0.06219,0.02841,2.19
cut0p03,0.30,900,39.269909,200,4,0.0155406631,0.0001764,2.89378,0.03284,2.87680,0.01067,0.00563,0.04088,0.14
cut0p03,0.30,900,39.269909,500,7,0.0124256017,6.256e-05,2.85955,0.01440,2.87680,0.01067,0.00563,0.04088,0.14
cut0p03,0.30,900,39.269909,1000,10,0.01002589,7.1e-05,2.91369,0.02063,2.87680,0.01067,0.00563,0.04088,0.14
cut0p03,0.30,900,39.269909,2000,8,0.00746301597,3.243e-05,2.87381,0.01249,2.87680,0.01067,0.00563,0.04088,0.14
cut0p03,0.30,1600,52.359879,500,5,0.0106923814,5.332e-05,2.85295,0.01423,2.86605,0.00791,0.01550,0.04012,0.39
cut0p03,0.30,1600,52.359879,1000,7,0.00902916208,5.965e-05,2.88941,0.01909,2.86605,0.00791,0.01550,0.04012,0.39
cut0p03,0.30,1600,52.359879,2000,8,0.00702558354,2.332e-05,2.86610,0.00951,2.86605,0.00791,0.01550,0.04012,0.39
cut0p03,0.50,100,7.853982,200,5,0.0855452538,0.0007096,5.63930,0.04678,5.56056,0.01591,-0.03359,0.05539,-0.61
cut0p03,0.50,100,7.853982,500,4,0.0557125658,0.0002928,5.54304,0.02913,5.56056,0.01591,-0.03359,0.05539,-0.61
cut0p03,0.50,100,7.853982,1000,8,0.0400330564,0.0002044,5.54252,0.02830,5.56056,0.01591,-0.03359,0.05539,-0.61
cut0p03,0.50,100,7.853982,2000,8,0.028653344,0.0001183,5.56435,0.02298,5.56056,0.01591,-0.03359,0.05539,-0.61
cut0p03,0.50,400,15.707963,200,5,0.0643859412,0.0002941,5.52533,0.02524,5.50766,0.01627,-0.05917,0.02552,-2.32
cut0p03,0.50,400,15.707963,500,6,0.0473945091,0.0002522,5.53688,0.02947,5.50766,0.01627,-0.05917,0.02552,-2.32
cut0p03,0.50,400,15.707963,1000,5,0.0353334981,0.0002541,5.50411,0.03959,5.50766,0.01627,-0.05917,0.02552,-2.32
cut0p03,0.50,400,15.707963,2000,7,0.0256096895,0.0001217,5.46775,0.02597,5.50766,0.01627,-0.05917,0.02552,-2.32
cut0p03,0.50,900,23.561945,200,3,0.0498678982,0.0005372,5.47440,0.05897,5.48725,0.02059,0.07027,0.08444,0.83
cut0p03,0.50,900,23.561945,500,8,0.0406256821,0.000433,5.51189,0.05875,5.48725,0.02059,0.07027,0.08444,0.83
cut0p03,0.50,900,23.561945,1000,7,0.0317124692,0.0001418,5.43338,0.02429,5.48725,0.02059,0.07027,0.08444,0.83
cut0p03,0.50,900,23.561945,2000,8,0.0242813201,7.442e-05,5.51232,0.01690,5.48725,0.02059,0.07027,0.08444,0.83
cut0p03,0.50,1600,31.415928,500,3,0.0347928899,7.553e-05,5.49777,0.01194,5.50025,0.00256,0.00041,0.01783,0.02
cut0p03,0.50,1600,31.415928,1000,9,0.0290412935,5.331e-05,5.50370,0.01010,5.50025,0.00256,0.00041,0.01783,0.02
cut0p03,0.50,1600,31.415928,2000,8,0.0227421674,7.853e-05,5.49437,0.01897,5.50025,0.00256,0.00041,0.01783,0.02
cut0p03,0.60,100,6.544985,500,4,0.101490092,0.0008166,8.16913,0.06573,8.15333,0.01492,-0.07664,0.02313,-3.31
cut0p03,0.60,100,6.544985,1000,4,0.072861156,0.0009731,8.16098,0.10899,8.15333,0.01492,-0.07664,0.02313,-3.31
cut0p03,0.60,100,6.544985,2000,4,0.0516929164,0.000549,8.12133,0.08626,8.15333,0.01492,-0.07664,0.02313,-3.31
cut0p03,0.60,400,13.089969,500,5,0.0856928131,0.0008343,8.22914,0.08012,8.29183,0.01760,0.11961,0.01155,10.36
cut0p03,0.60,400,13.089969,1000,8,0.0646331141,0.0008794,8.27615,0.11260,8.29183,0.01760,0.11961,0.01155,10.36
cut0p03,0.60,400,13.089969,2000,8,0.0473107064,0.0001817,8.30303,0.03189,8.29183,0.01760,0.11961,0.01155,10.36
cut0p03,0.60,900,19.634954,500,5,0.0745299349,0.0008199,8.35184,0.09187,8.30653,0.02226,-0.11782,0.06759,-1.74
cut0p03,0.60,900,19.634954,1000,6,0.0585506236,0.0005826,8.28559,0.08244,8.30653,0.02226,-0.11782,0.06759,-1.74
cut0p03,0.60,900,19.634954,2000,5,0.0441762761,0.0005374,8.28330,0.10077,8.30653,0.02226,-0.11782,0.06759,-1.74
cut0p03,0.60,1600,26.179939,500,3,0.0639085982,0.0001441,8.36005,0.01885,8.35423,0.01142,-0.01134,0.06403,-0.18
cut0p03,0.60,1600,26.179939,1000,6,0.0529766718,0.0002759,8.31146,0.04329,8.35423,0.01142,-0.01134,0.06403,-0.18
cut0p03,0.60,1600,26.179939,2000,8,0.0418048976,0.000164,8.36116,0.03280,8.35423,0.01142,-0.01134,0.06403,-0.18
cut0p03,0.65,100,6.041524,200,5,0.226955915,0.003632,11.00499,0.17610,11.00438,0.05894,-0.29511,0.11705,-2.52
cut0p03,0.65,100,6.041524,500,3,0.152296704,0.0007557,11.14562,0.05530,11.00438,0.05894,-0.29511,0.11705,-2.52
cut0p03,0.65,100,6.041524,1000,4,0.109457391,0.00135,11.14686,0.13743,11.00438,0.05894,-0.29511,0.11705,-2.52
cut0p03,0.65,100,6.041524,2000,8,0.076507306,0.0002631,10.92850,0.03757,11.00438,0.05894,-0.29511,0.11705,-2.52
cut0p03,0.65,1600,24.166098,500,5,0.086676863,0.0007932,10.43160,0.09547,10.39728,0.07926,-0.13706,0.58435,-0.23
cut0p03,0.65,1600,24.166098,1000,5,0.0701316979,0.001578,10.12290,0.22772,10.39728,0.07926,-0.13706,0.58435,-0.23
cut0p03,0.65,1600,24.166098,2000,3,0.0571887787,0.001562,10.52322,0.28736,10.39728,0.07926,-0.13706,0.58435,-0.23
cut0p10,0.10,100,39.269909,50,8,0.00793914501,0.0001073,1.77274,0.02395,1.76563,0.00258,0.00418,0.00935,0.45
cut0p10,0.10,100,39.269909,200,6,0.00474123785,3.327e-05,1.74516,0.01224,1.76563,0.00258,0.00418,0.00935,0.45
cut0p10,0.10,100,39.269909,500,8,0.00318167015,1.009e-05,1.76752,0.00561,1.76563,0.00258,0.00418,0.00935,0.45
cut0p10,0.10,100,39.269909,1000,10,0.00228672382,5.794e-06,1.76773,0.00448,1.76563,0.00258,0.00418,0.00935,0.45
cut0p10,0.10,100,39.269909,2000,9,0.00162718717,5.107e-06,1.76437,0.00554,1.76563,0.00258,0.00418,0.00935,0.45
cut0p10,0.10,400,78.539818,200,7,0.00386672211,1.856e-05,1.74937,0.00840,1.75371,0.00274,-0.00803,0.01109,-0.72
cut0p10,0.10,400,78.539818,500,9,0.00285204569,5.99e-06,1.75657,0.00369,1.75371,0.00274,-0.00803,0.01109,-0.72
cut0p10,0.10,400,78.539818,1000,10,0.00213775712,5.181e-06,1.75562,0.00425,1.75371,0.00274,-0.00803,0.01109,-0.72
cut0p10,0.10,400,78.539818,2000,9,0.0015486828,5.711e-06,1.74317,0.00643,1.75371,0.00274,-0.00803,0.01109,-0.72
cut0p10,0.10,900,117.809723,200,4,0.00310852395,1.168e-05,1.76674,0.00664,1.75711,0.00481,-0.02219,0.00422,-5.26
cut0p10,0.10,900,117.809723,500,8,0.00249761988,1.08e-05,1.75440,0.00758,1.75711,0.00481,-0.02219,0.00422,-5.26
cut0p10,0.10,900,117.809723,1000,6,0.00197005504,1.252e-05,1.74752,0.01110,1.75711,0.00481,-0.02219,0.00422,-5.26
cut0p10,0.10,900,117.809723,2000,7,0.00148599991,9.048e-06,1.74656,0.01063,1.75711,0.00481,-0.02219,0.00422,-5.26
cut0p10,0.10,1600,157.079636,200,3,0.00252799256,7.68e-06,1.77359,0.00539,1.75968,0.00615,-0.01955,0.01463,-1.34
cut0p10,0.10,1600,157.079636,500,6,0.00215572654,7.62e-06,1.74797,0.00618,1.75968,0.00615,-0.01955,0.01463,-1.34
cut0p10,0.10,1600,157.079636,1000,8,0.00180440915,7.522e-06,1.75477,0.00731,1.75968,0.00615,-0.01955,0.01463,-1.34
cut0p10,0.10,1600,157.079636,2000,9,0.00141580707,5.985e-06,1.75523,0.00742,1.75968,0.00615,-0.01955,0.01463,-1.34
cut0p10,0.30,100,13.089969,50,4,0.0418828891,0.0006829,2.95445,0.04817,2.90916,0.00575,0.01237,0.01320,0.94
cut0p10,0.30,100,13.089969,200,9,0.024921242,0.0001209,2.89789,0.01406,2.90916,0.00575,0.01237,0.01320,0.94
cut0p10,0.30,100,13.089969,500,9,0.0165221664,8.343e-05,2.89964,0.01464,2.90916,0.00575,0.01237,0.01320,0.94
cut0p10,0.30,100,13.089969,1000,9,0.0119487317,0.0001032,2.91805,0.02519,2.90916,0.00575,0.01237,0.01320,0.94
cut0p10,0.30,100,13.089969,2000,10,0.00851689791,3.225e-05,2.91744,0.01105,2.90916,0.00575,0.01237,0.01320,0.94
cut0p10,0.30,400,26.179939,200,8,0.0193402817,0.0002294,2.84140,0.03370,2.88803,0.00968,0.05625,0.01111,5.06
cut0p10,0.30,400,26.179939,500,9,0.0143854583,8.923e-05,2.87716,0.01785,2.88803,0.00968,0.05625,0.01111,5.06
cut0p10,0.30,400,26.179939,1000,8,0.010808899,5.2e-05,2.88260,0.01387,2.88803,0.00968,0.05625,0.01111,5.06
cut0p10,0.30,400,26.179939,2000,10,0.0079491814,3.562e-05,2.90555,0.01302,2.88803,0.00968,0.05625,0.01111,5.06
cut0p10,0.30,900,39.269909,200,6,0.0154431116,0.0001319,2.87562,0.02456,2.88119,0.00924,0.01409,0.03146,0.45
cut0p10,0.30,900,39.269909,500,8,0.0124621127,6.533e-05,2.86795,0.01504,2.88119,0.00924,0.01409,0.03146,0.45
cut0p10,0.30,900,39.269909,1000,10,0.01002589,7.1e-05,2.91369,0.02063,2.88119,0.00924,0.01409,0.03146,0.45
cut0p10,0.30,900,39.269909,2000,10,0.00747730066,3.849e-05,2.87931,0.01482,2.88119,0.00924,0.01409,0.03146,0.45
cut0p10,0.30,1600,52.359879,500,5,0.0106923814,5.332e-05,2.85295,0.01423,2.86237,0.00422,0.02109,0.00677,3.12
cut0p10,0.30,1600,52.359879,1000,8,0.00895780955,8.809e-05,2.86658,0.02819,2.86237,0.00422,0.02109,0.00677,3.12
cut0p10,0.30,1600,52.359879,2000,8,0.00702558354,2.332e-05,2.86610,0.00951,2.86237,0.00422,0.02109,0.00677,3.12
cut0p10,0.50,100,7.853982,50,8,0.133361569,0.004604,5.33321,0.18411,5.54466,0.01312,0.08316,0.02509,3.31
cut0p10,0.50,100,7.853982,200,7,0.0837733555,0.001247,5.52249,0.08224,5.54466,0.01312,0.08316,0.02509,3.31
cut0p10,0.50,100,7.853982,500,8,0.055415089,0.0005103,5.51344,0.05077,5.54466,0.01312,0.08316,0.02509,3.31
cut0p10,0.50,100,7.853982,1000,9,0.0399691814,0.0001913,5.53368,0.02648,5.54466,0.01312,0.08316,0.02509,3.31
cut0p10,0.50,100,7.853982,2000,8,0.028653344,0.0001183,5.56435,0.02298,5.54466,0.01312,0.08316,0.02509,3.31
cut0p10,0.50,400,15.707963,200,8,0.064225258,0.0005725,5.51155,0.04913,5.50590,0.01678,-0.05090,0.05061,-1.01
cut0p10,0.50,400,15.707963,500,9,0.0475668599,0.000319,5.55702,0.03727,5.50590,0.01678,-0.05090,0.05061,-1.01
cut0p10,0.50,400,15.707963,1000,7,0.0352010064,0.0002011,5.48347,0.03133,5.50590,0.01678,-0.05090,0.05061,-1.01
cut0p10,0.50,400,15.707963,2000,8,0.0257127638,0.0001474,5.48976,0.03147,5.50590,0.01678,-0.05090,0.05061,-1.01
