eta,cs_KR2006,robust_c_s,robust_err,robust_scatter,robust_n_masses,cut0p03_c_s,cut0p03_err,cut0p03_scatter,cut0p03_n_masses,cut0p10_c_s,cut0p10_err,cut0p10_scatter,cut0p10_n_masses,nocut_c_s,nocut_err,nocut_scatter,nocut_n_masses
0.019635,1.47138,1.47978,0.00144,0.00841,9,1.47965,0.00160,0.00661,9,1.47780,0.00281,0.00961,9,1.47538,0.00249,0.00697,9
0.026180,1.49118,1.50166,0.00189,0.00948,9,1.50166,0.00204,0.00728,9,1.50020,0.00219,0.00535,9,1.50534,0.00183,0.00895,9
0.039270,1.53196,1.54434,0.00223,0.00846,9,1.54424,0.00170,0.00536,9,1.54272,0.00230,0.01069,9,1.54517,0.00289,0.00828,9
0.052360,1.57439,1.58973,0.00099,0.00756,9,1.58690,0.00127,0.00476,9,1.58648,0.00130,0.00645,9,1.58993,0.00171,0.01222,9
0.078540,1.66454,1.67955,0.00217,0.01188,9,1.67830,0.00148,0.00631,9,1.67629,0.00153,0.00543,9,1.67771,0.00182,0.00626,9
0.112200,1.79189,1.81933,0.00099,0.00603,9,1.81703,0.00142,0.00527,9,1.81672,0.00222,0.01276,9,1.81587,0.00208,0.00800,9
0.130900,1.86885,1.89658,0.00099,0.00642,9,1.89220,0.00177,0.01065,9,1.89091,0.00161,0.00698,9,1.89719,0.00196,0.00607,9
0.157080,1.98495,2.01980,0.00161,0.00495,9,2.01947,0.00150,0.00589,9,2.01878,0.00240,0.00821,9,2.01938,0.00370,0.00908,9
0.196350,2.17981,2.21895,0.00158,0.01154,9,2.22086,0.00202,0.00746,8,2.21832,0.00361,0.01849,9,2.22090,0.00252,0.00967,9
0.261799,2.57255,2.62361,0.00349,0.02231,9,2.61852,0.00371,0.01603,9,2.61917,0.00366,0.01490,9,2.62118,0.00253,0.01064,9
0.392699,3.74608,3.82550,0.00205,0.03770,9,3.82026,0.00717,0.04884,9,3.82143,0.00433,0.02737,9,3.83404,0.00463,0.01597,9
0.523599,5.93213,6.10418,0.01320,0.07099,9,6.11721,0.01266,0.04137,8,6.12443,0.01319,0.04828,9,6.13684,0.00974,0.02995,9
0.549999,6.60185,6.77657,0.00997,0.07619,9,6.78599,0.01072,0.06109,8,6.76473,0.01846,0.16388,9,6.77179,0.01122,0.05032,9
0.569996,7.18766,7.30483,0.01820,0.16373,9,7.29013,0.00895,0.04110,8,7.30486,0.01566,0.07204,9,7.33106,0.01106,0.05346,9
0.590001,7.85471,7.82890,0.02255,0.09283,9,7.86035,0.01667,0.07205,8,7.88299,0.03079,0.12196,9,7.89147,0.02902,0.12348,9
0.609999,8.61562,8.48169,0.02474,0.15639,9,8.49302,0.03600,0.18220,7,8.51632,0.05390,0.28371,9,8.59589,0.04284,0.20044,9
0.630002,9.48076,9.37080,0.06227,0.30848,9,9.38332,0.04456,0.13934,7,9.34098,0.03954,0.20374,9,9.48088,0.03845,0.10725,9
0.650003,10.43889,11.01475,0.03641,0.15497,9,10.99225,0.03363,0.15208,8,11.01536,0.02712,0.08510,9,11.05031,0.03120,0.12612,9
0.669998,11.37328,13.08187,0.04013,0.21957,9,13.06769,0.03348,0.20396,8,13.08902,0.05340,0.25893,9,13.15070,0.01863,0.05815,9
0.679998,11.67118,14.70779,0.07861,0.50917,9,14.64609,0.02355,0.06611,8,14.62878,0.06796,0.32912,9,14.61261,0.03432,0.13789,9
0.689999,11.55102,16.66586,0.04006,0.22893,9,16.70792,0.01836,0.06350,8,16.70157,0.03902,0.19923,9,16.69944,0.03569,0.14930,9
0.695006,,17.97563,0.04292,0.20665,9,17.96869,0.05359,0.32707,9,18.00080,0.04316,0.20794,9,17.98597,0.03167,0.15854,9
0.699998,,19.55849,0.03099,0.26928,9,19.57311,0.04178,0.29620,9,19.59899,0.06028,0.25201,9,19.58427,0.02269,0.11012,9
0.705000,,17.17567,0.09080,0.33502,9,17.61004,0.24580,0.66957,8,17.56373,0.23032,0.68984,9,17.24342,0.08075,0.43081,9
0.709997,,14.81938,0.04316,0.26844,9,16.42449,0.14241,0.38725,8,15.95843,0.12030,0.35868,9,15.70004,0.39449,1.28595,9
0.714999,,15.71836,0.01949,0.21436,9,15.73965,0.02479,0.42725,9,15.76428,0.03653,0.29122,9,15.74545,0.02670,0.10209,9
0.719994,,16.78525,0.02360,0.11831,9,16.75794,0.02932,0.10102,9,16.77201,0.02578,0.12175,9,16.72288,0.02263,0.08093,9
0.725005,,18.10169,0.01982,0.05894,9,18.10141,0.01369,0.06112,9,18.10496,0.01636,0.05365,9,18.11470,0.02683,0.08397,9
0.730005,,18.74647,0.02007,0.11803,9,18.74392,0.01850,0.07126,9,18.75233,0.02992,0.20938,9,18.75879,0.01351,0.04190,9
0.740006,,22.97328,0.01128,0.08514,9,22.96301,0.01641,0.08278,9,22.97937,0.01534,0.10581,9,22.96996,0.02234,0.06153,9
0.749998,,28.19090,0.02502,0.27652,9,28.12985,0.03380,0.35684,9,28.09679,0.05675,0.34767,9,28.16408,0.03028,0.09263,9
0.759999,,37.74990,0.04655,0.25897,9,37.72178,0.05756,0.43093,9,37.70894,0.04899,0.22165,9,37.03252,0.54429,3.12749,9
