eta,L0,L_eff,c_s,c_s_err,c_s_scatter_mass,c_s_free_intercept,intercept,fit_r2,n_masses,n_runs_all,n_runs_eligible,n_runs_in_fit,cs_KR2006,dev_KR,cs_Liu2021,dev_Liu
0.006545,600.000000,599.000000,1.44193,0.00150,0.00676,1.44828,-4.6371e-07,0.99986,9,90,63,63,1.43290,+0.63%,1.43290,+0.63%
0.009817,400.000000,399.000000,1.45015,0.00255,0.01212,1.45247,-2.7887e-07,0.99919,8,90,57,57,1.44238,+0.54%,1.44238,+0.54%
0.013090,300.000000,299.000000,1.45339,0.00267,0.00864,1.46168,-1.3911e-06,0.99971,8,90,60,59,1.45195,+0.10%,1.45195,+0.10%
0.019635,199.999496,198.999496,1.46411,0.00148,,1.46459,-1.3485e-07,0.99980,9,225,225,225,1.47138,-0.49%,1.47138,-0.49%
0.026180,149.999603,148.999603,1.48706,0.00246,,1.49557,-3.1097e-06,0.99947,9,225,225,225,1.49118,-0.28%,1.49118,-0.28%
0.039270,99.999802,98.999802,1.52879,0.00192,,1.53287,-2.2838e-06,0.99973,9,225,225,225,1.53196,-0.21%,1.53196,-0.21%
0.052360,74.999802,73.999802,1.57409,0.00209,,1.56840,4.5467e-06,0.99963,9,225,225,225,1.57439,-0.02%,1.57439,-0.02%
0.078540,49.999901,48.999901,1.66215,0.00126,,1.66799,-6.6491e-06,0.99999,9,225,225,225,1.66454,-0.14%,1.66455,-0.14%
0.112200,34.999901,33.999901,1.80123,0.00206,,1.79341,1.1484e-05,0.99974,9,225,225,225,1.79189,+0.52%,1.79194,+0.52%
0.130900,29.999901,28.999901,1.87809,0.00194,,1.87971,-3.0432e-06,0.99992,9,225,225,225,1.86885,+0.49%,1.86893,+0.49%
0.157080,24.999901,23.999901,2.00238,0.00198,,2.00286,-1.0796e-06,0.99998,9,225,225,225,1.98495,+0.88%,1.98509,+0.87%
0.196350,20.0,19.0,2.19921,0.00199,,2.20359,-1.3133e-05,0.99999,9,225,225,225,2.17980,+0.89%,2.18006,+0.88%
0.261799,15.0,14.0,2.59853,0.00327,,2.61775,-7.7083e-05,0.99987,9,225,225,225,2.57255,+1.01%,2.57300,+0.99%
0.392699,10.0,9.0,3.78773,0.00327,,3.77966,4.7967e-05,0.99991,9,225,225,225,3.74608,+1.11%,3.74615,+1.11%
0.523599,7.5,6.5,6.07904,0.01459,,6.11106,-0.00025553,0.99962,9,225,225,225,5.93212,+2.48%,5.92901,+2.53%
0.549999,7.14,6.14,6.73131,0.01679,,6.71395,0.00013179,0.99883,9,225,220,220,6.60184,+1.96%,6.59786,+2.02%
0.569996,6.8895,5.8895,7.23792,0.01568,,7.32727,-0.00080114,0.99916,9,225,225,225,7.18768,+0.70%,7.18345,+0.76%
0.590001,6.6559,5.6559,7.85277,0.03301,,7.98973,-0.0012678,0.99476,9,225,225,225,7.85473,-0.02%,7.85141,+0.02%
0.609999,6.4377,5.4377,8.49158,0.05175,,8.78147,-0.0029795,0.99639,9,225,225,225,8.61562,-1.44%,8.61587,-1.44%
0.630002,6.2333,5.2333,9.41252,0.04081,,9.58142,-0.0020064,0.99947,9,225,225,225,9.48075,-0.72%,9.48837,-0.80%
0.650003,6.0415,5.0415,10.95249,0.03727,,11.07170,-0.001325,0.99853,9,225,225,225,10.43888,+4.92%,10.44997,+4.81%
0.669998,5.8612,4.8612,13.01947,0.02265,,13.14729,-0.0015042,0.99986,9,225,225,225,11.37327,+14.47%,11.34499,+14.76%
0.679998,5.775,4.775,14.48854,0.03337,,14.60773,-0.0014186,0.99921,9,225,225,225,11.67118,+24.14%,11.60169,+24.88%
0.689999,5.6913,4.6913,16.53028,0.04280,,16.49170,0.00041521,0.99949,9,225,225,225,11.55103,+43.11%,11.51687,+43.53%
0.695006,5.6503,4.6503,17.78030,0.01957,,17.79627,-0.00017242,0.99975,9,225,225,225,,,11.26418,+57.85%
0.699998,5.61,4.61,19.38521,0.02621,,19.38799,-2.8634e-05,0.99973,9,225,225,225,,,10.83136,+78.97%
0.705000,5.5702,4.5702,17.97501,0.21847,,17.17572,0.012006,0.99371,9,225,225,225,,,10.23243,+75.67%
0.709997,5.531,4.531,16.27769,0.16485,,15.98511,0.0042755,0.99669,9,225,225,225,,,9.64650,+68.74%
0.714999,5.4923,4.4923,15.72722,0.06125,,16.17318,-0.0042596,0.99794,9,225,225,225,,,9.71093,+61.95%
0.719994,5.4542,4.4542,16.53832,0.02559,,16.60043,-0.00073893,0.99989,9,225,225,225,,,11.83387,+39.75%
0.725005,5.4165,4.4165,17.91222,0.02305,,17.77525,0.0017949,0.99989,9,225,225,225,,,12.16557,+47.24%
0.730005,5.3794,4.3794,18.55651,0.00960,,18.54731,0.0001241,0.99998,9,225,225,225,,,12.51138,+48.32%
0.740006,5.3067,4.3067,22.75307,0.01579,,22.69973,0.00073422,0.99998,9,225,225,225,,,13.26577,+71.52%
0.749998,5.236,4.236,27.89382,0.03649,,27.85486,0.00054523,0.99992,9,225,225,225,,,14.11561,+97.61%
0.759999,5.1671,4.1671,36.86169,0.58576,,35.17399,0.023542,0.82637,9,225,216,216,,,15.08147,+144.42%
