eta,L0,c_s,c_s_err,c_s_err_scaled,c_s_scatter_mass,chi2_red,n_masses,trajectories_used,trajectories_discarded,KR,dev_KR_pct
0.006545,600,1.44297,0.002052,0.002376,0.00251,1.340,9,224,1,1.43290,+0.703
0.009817,400,1.45388,0.002266,0.004337,0.00396,3.661,9,224,1,1.44238,+0.798
0.013090,300,1.46003,0.002181,0.002472,0.00233,1.285,9,225,0,1.45195,+0.556
0.019635,199.9995,1.47744,0.002732,0.004421,0.00344,2.619,9,225,0,1.47138,+0.412
0.026180,149.9996,1.50376,0.002364,0.004425,0.00278,3.502,9,225,0,1.49118,+0.844
0.039270,99.9998,1.54272,0.002574,0.004192,0.00436,2.653,9,225,0,1.53196,+0.702
0.052360,74.9998,1.58740,0.002264,0.002566,0.00265,1.284,9,225,0,1.57439,+0.826
0.078540,49.9999,1.67866,0.002045,0.005260,0.00525,6.617,9,225,0,1.66454,+0.848
0.112200,34.9999,1.81155,0.003137,0.005294,0.00453,2.848,9,225,0,1.79189,+1.097
0.130900,29.9999,1.89683,0.003237,0.004730,0.00400,2.136,9,225,0,1.86885,+1.497
0.157080,24.9999,2.01616,0.002774,0.002774,0.00175,0.299,9,225,0,1.98495,+1.572
0.196350,20.0000,2.21096,0.003180,0.005548,0.00430,3.044,9,225,0,2.17981,+1.429
0.261799,15.0000,2.61299,0.004236,0.007659,0.00803,3.269,9,225,0,2.57255,+1.572
0.392699,10.0000,3.80884,0.008167,0.011193,0.00844,1.878,9,225,0,3.74608,+1.675
0.523599,7.5000,6.08815,0.017126,0.017126,0.01604,0.486,9,225,0,5.93213,+2.630
0.549999,7.1400,6.73988,0.024516,0.035846,0.03043,2.138,9,225,0,6.60185,+2.091
0.569996,6.8895,7.21712,0.030431,0.051768,0.04910,2.894,9,225,0,7.18766,+0.410
0.590001,6.6559,7.92513,0.033044,0.091370,0.04869,7.646,9,225,0,7.85471,+0.897
0.609999,6.4377,8.57780,0.034068,0.065694,0.07002,3.718,9,225,0,8.61562,-0.439
0.630002,6.2333,9.51057,0.041691,0.129532,0.10267,9.653,9,225,0,9.48076,+0.314
0.650003,6.0415,11.03078,0.048111,0.052982,0.03786,1.213,9,225,0,10.43889,+5.670
0.669998,5.8612,12.99552,0.039274,0.039274,0.04398,0.805,9,225,0,11.37328,+14.264
0.679998,5.7750,14.51554,0.049116,0.049116,0.03573,0.595,9,225,0,11.67118,+24.371
0.689999,5.6913,16.51931,0.047333,0.109554,0.07572,5.357,9,225,0,11.55102,+43.012
0.695006,5.6503,17.76362,0.051200,0.151517,0.07927,8.758,9,225,0,,
0.699998,5.6100,19.24481,0.060174,0.226220,0.11750,14.133,9,225,0,,
0.705000,5.5702,18.38705,0.200623,0.675190,1.01656,11.326,9,225,0,,
0.709997,5.5310,17.11137,0.151375,0.512849,0.68692,11.478,9,225,0,,
0.714999,5.4923,16.44125,0.141599,0.191294,0.36105,1.825,9,225,0,,
0.719994,5.4542,16.75907,0.105766,0.232203,0.16172,4.820,9,225,0,,
0.725005,5.4165,17.86572,0.023484,0.135095,0.10338,33.094,9,225,0,,
0.730005,5.3794,18.58431,0.027615,0.098694,0.05635,12.773,9,225,0,,
0.740006,5.3067,22.76518,0.034301,0.135199,0.07072,15.536,9,225,0,,
0.749998,5.2360,27.84595,0.045770,0.214484,0.11712,21.959,9,225,0,,
0.759999,5.1671,37.40656,0.064828,0.191813,0.12648,8.754,9,225,0,,
