KE_particles,KE_wall,KE_total,T,S_v,F
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 9.99999998e+01, KE_wall: 0.00000000e+00, KE_total: 9.99999998e+01, T: 9.99999998e-01, S_v: 0.00000000e+00, F: 6.07240334e+01
KE_particles: 1.15117978e+05, KE_wall: 0.00000000e+00, KE_total: 1.15117978e+05, T: 1.15117978e+03, S_v: 2.23535359e-01, F: nan
KE_particles: 1.48242664e+05, KE_wall: 0.00000000e+00, KE_total: 1.48242664e+05, T: 1.48242664e+03, S_v: 5.62840700e-01, F: nan
KE_particles: 5.40538603e+05, KE_wall: 0.00000000e+00, KE_total: 5.40538603e+05, T: 5.40538603e+03, S_v: 5.95799088e-01, F: nan
KE_particles: 8.45405341e+05, KE_wall: 0.00000000e+00, KE_total: 8.45405341e+05, T: 8.45405341e+03, S_v: 9.43393290e-01, F: nan
KE_particles: 3.23473258e+06, KE_wall: 0.00000000e+00, KE_total: 3.23473258e+06, T: 3.23473258e+04, S_v: 1.53135872e+00, F: nan
KE_particles: 4.97238867e+06, KE_wall: 0.00000000e+00, KE_total: 4.97238867e+06, T: 4.97238867e+04, S_v: 2.17725801e+00, F: nan
KE_particles: 7.08380031e+06, KE_wall: 0.00000000e+00, KE_total: 7.08380031e+06, T: 7.08380031e+04, S_v: 2.20367885e+00, F: nan
KE_particles: 5.76349483e+06, KE_wall: 0.00000000e+00, KE_total: 5.76349483e+06, T: 5.76349483e+04, S_v: 2.47664905e+00, F: nan
KE_particles: 4.79181571e+06, KE_wall: 0.00000000e+00, KE_total: 4.79181571e+06, T: 4.79181571e+04, S_v: 2.66178417e+00, F: nan
