eta_seg_1,num_walls,n,kBT,DeltaF,DeltaF_lo,DeltaF_hi
0.062832,1,1000,1.0,4.135166556742356,3.7297014486341915,4.8283137373023015
0.062832,2,1000,1.0,51466.34205527898,51464.95576091787,55859.94538787494
0.094248,1,1000,1.0,6.907755278982137,5.521460917862246,75.50470427898135
0.094248,2,1000,1.0,46733.87605527898,46732.777442990315,50983.43911217207
0.15708,1,1000,1.0,294.81763327898216,293.719020990314,535.0502810261461
0.15708,2,1000,1.0,47273.94905527898,47272.85044299031,48863.26691036821
0.188496,1,1000,1.0,538.4308472789821,537.1812019022768,895.7658648931607
0.188496,2,1000,1.0,47304.56975527898,47303.47114299031,48135.25735527898
0.251327,1,1000,1.0,1374.8291852789823,1373.4428909178623,1460.9046603682164
0.251327,2,1000,1.0,47287.88815527898,47286.789542990315,47586.579155509186
0.314159,1,1000,1.0,3328.0834752789824,3326.984862990314,4377.608335278982
0.314159,2,1000,1.0,56261.14735527898,56260.048742990315,62396.07455527898
0.376991,1,1000,1.0,19850.26165527898,19849.163042990313,20999.800255278984
0.376991,2,1000,1.0,90459.10625527898,90458.00764299031,92353.22160809842
0.502655,1,1000,1.0,62807.484855278984,62806.38624299032,63605.60096318763
0.502655,2,1000,1.0,85904.83595527898,85903.73734299031,89580.22665527898
0.596903,1,1000,1.0,86229.90875527899,86228.65910990228,90964.95161217208
0.596903,2,1000,1.0,114501.16175527898,114500.06314299032,120649.90675527898
0.69115,1,1000,1.0,140048.82475527897,140047.7261429903,143738.088755279
0.69115,2,1000,1.0,158810.06375527897,158808.9651429903,162426.45675527898
