Time, Wall_X, Displacement(σ), Left_Count, Right_Count, Packing_UNITLESS, Packing_ACTUAL_BOUND, Packing_ACTUAL_WITH_WALLBUFFER
-0.000, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.002, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.003, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.005, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.006, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.008, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.010, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.011, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.013, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.014, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.016, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.018, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.019, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.021, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.022, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.024, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.026, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.027, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.029, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.030, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.032, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.034, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.035, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.037, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.038, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.040, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.042, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.043, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.045, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.046, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.048, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.050, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.051, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.053, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.054, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.056, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.058, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.059, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.061, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.062, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.064, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.066, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.067, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.069, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.070, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.072, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.074, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.075, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.077, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.078, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.080, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
