# Step Time(LJ) WallX WallVx NLeft NRight
0 0 0 0 100 0
1000 0.1 0 0 65 0
2000 0.2 0 0 55 0
3000 0.3 0 0 65 2
4000 0.4 0 0 68 2
5000 0.5 0 0 65 4
6000 0.6 0 0 58 5
7000 0.7 0 0 57 6
8000 0.8 0 0 57 9
9000 0.9 0 0 51 14
10000 1 0 0 54 16
11000 1.1 0 0 58 15
12000 1.2 0 0 50 16
13000 1.3 0 0 45 19
14000 1.4 0 0 40 24
15000 1.5 0 0 42 27
16000 1.6 0 0 42 29
17000 1.7 0 0 46 28
18000 1.8 0 0 48 28
19000 1.9 0 0 50 28
20000 2 0 0 43 29
21000 2.1 0 0 41 28
22000 2.2 0 0 36 30
23000 2.3 0 0 37 29
24000 2.4 0 0 39 28
25000 2.5 0 0 43 31
26000 2.6 0 0 35 34
27000 2.7 0 0 36 30
28000 2.8 0 0 33 26
29000 2.9 0 0 34 28
30000 3 0 0 40 26
31000 3.1 0 0 44 26
32000 3.2 0 0 45 26
33000 3.3 0 0 48 22
34000 3.4 0 0 44 21
35000 3.5 0 0 46 25
36000 3.6 0 0 41 30
37000 3.7 0 0 42 27
38000 3.8 0 0 39 27
39000 3.9 0 0 36 26
40000 4 0 0 35 28
41000 4.1 0 0 39 29
42000 4.2 0 0 37 26
43000 4.3 0 0 41 24
44000 4.4 0 0 44 25
45000 4.5 0 0 47 28
46000 4.6 0 0 45 29
47000 4.7 0 0 43 28
48000 4.8 0 0 45 25
49000 4.9 0 0 45 25
50000 5 0 0 42 23
50000 5 0 0 42 23
51000 5.1 0.000997623129628094 0.0141180991740152 36 27
52000 5.2 0.00240943304702968 0.0141180991740152 38 30
53000 5.3 0.00256368724158327 -0.0162381243755823 36 30
54000 5.4 0.00138586611761234 0.0046531444350828 39 27
55000 5.5 0.00377594285198165 0.0588486381213758 39 30
56000 5.6 0.000449034620333826 -0.162169536554321 39 28
57000 5.7 -0.0157679190350981 -0.162169536554321 39 28
58000 5.8 -0.03198487269053 -0.162169536554321 36 29
59000 5.9 -0.04778194643692 -0.15190110425319 37 30
60000 6 -0.0630867621446796 -0.165152838564391 40 32
61000 6.1 -0.0818602783548057 -0.190867393248714 41 31
62000 6.2 -0.0996586723606636 -0.16885349747534 37 31
63000 6.3 -0.118534616422201 -0.192785200822587 39 30
64000 6.4 -0.138906359717969 -0.260802949851333 40 30
65000 6.5 -0.164986332007422 -0.260799700400509 40 31
66000 6.6 -0.184442786658853 -0.0183808151289936 39 36
